,Name,Status,USD Raised,End of ICO,Token Sale Price,Current price,Return(x),Rating
https://www.icodata.io/coin/hdac,Hdac,Completed,"$258,000,000.00",22.12.2017,$0.81,$0,0.000,0
https://www.icodata.io/coin/tezos,Tezos (Pre-Launch),Completed,"$230,498,884.00",14.07.2017,$0,$5.32472,0.000,0
https://www.icodata.io/coin/filecoin,Filecoin,Completed,"$205,800,000.00",07.09.2017,$0,$0,0.000,0
https://www.icodata.io/coin/sirin-labs,Sirin Labs,Completed,"$157,885,825.00",26.12.2017,$1.53,$0,0.000,0
https://www.icodata.io/coin/the-bancor-protocol,Bancor,Completed,"$153,000,000.00",12.06.2017,$3.856624,$9.67028,2.507,0
https://www.icodata.io/coin/polkadot,Polkadot,Completed,"$144,434,715.00",28.10.2017,$32.41878,$0,0.000,0
https://www.icodata.io/coin/status,Status,Completed,"$107,664,907.00",20.06.2017,$0.0359,$0.423977,11.810,0
https://www.icodata.io/coin/comsa,Comsa,Completed,"$95,372,124.00",06.11.2017,$1,$0,0.000,0
https://www.icodata.io/coin/qash,QASH,Completed,"$86,539,600.00",08.11.2017,$0.247256,$2.37612,9.610,0
https://www.icodata.io/coin/tenx,TenX,Completed,"$83,110,818.00",24.06.2017,$0.804952,$3.86983,4.808,0
https://www.icodata.io/coin/tron,TRON,Completed,"$68,681,550.00",02.09.2017,$0.00174,$0.086308,49.604,0
https://www.icodata.io/coin/wax,WAX,Completed,"$68,403,200.00",29.11.2017,$2.851558,$0,0.000,0
https://www.icodata.io/coin/bankex,BankEx,Completed,"$66,600,000.00",27.12.2017,$1.57,$0,0.000,0
https://www.icodata.io/coin/domraider,DomRaider,Completed,"$65,771,440.00",09.10.2017,$0.117,$0.100265,0.857,0
https://www.icodata.io/coin/gridplus,Grid+,Completed,"$61,226,790.00",12.11.2017,$1.139267,$2.76421,2.426,0
https://www.icodata.io/coin/nebulas,Nebulas Pre-Sale,Completed,"$60,000,000.00",16.12.2017,$2,$0,0.000,0
https://www.icodata.io/coin/salt,SALT,Completed,"$54,550,041.00",22.08.2017,$0,$11.0614,0.000,0
